file,rows,start_time,end_time,duration_seconds,max_total_a,max_abs_gyro
normal_227.csv,27,1800430115.0,1800430117.3752086,2.375208616256714,1.39,140.48
normal_228.csv,25,1800430120.0,1800430122.360963,2.3609631061553955,1.59,173.59
normal_229.csv,27,1800430125.0,1800430128.2412376,3.2412376403808594,1.21,87.47
normal_230.csv,25,1800430130.0,1800430132.3718498,2.371849775314331,1.3,228.59
normal_231.csv,18,1800430135.0,1800430136.6903048,1.6903047561645508,2.27,462.43
normal_232.csv,24,1800430140.0,1800430142.4205096,2.4205095767974854,1.33,83.13
normal_233.csv,24,1800430145.0,1800430147.5322456,2.532245635986328,1.77,207.6
normal_234.csv,27,1800430150.0,1800430152.15452,2.154520034790039,1.37,140.55
normal_235.csv,24,1800430155.0,1800430157.3872344,2.3872344493865967,1.41,79.47
normal_236.csv,24,1800430160.0,1800430162.3173325,2.3173325061798096,2.34,460.06
normal_237.csv,27,1800430165.0,1800430167.403412,2.403412103652954,1.51,218.17
normal_238.csv,25,1800430170.0,1800430172.5214412,2.5214412212371826,2.0,163.73
normal_239.csv,23,1800430175.0,1800430177.450831,2.4508309364318848,1.16,138.97
normal_240.csv,27,1800430180.0,1800430183.2019289,3.2019288539886475,1.41,264.16
normal_241.csv,23,1800430185.0,1800430187.3993225,2.399322509765625,1.23,63.48
normal_242.csv,26,1800430190.0,1800430192.4914556,2.491455554962158,1.94,434.26
normal_243.csv,15,1800430195.0,1800430196.60713,1.6071300506591797,1.42,125.35
normal_244.csv,23,1800430200.0,1800430202.1665678,2.166567802429199,1.36,105.44
normal_245.csv,20,1800430205.0,1800430206.947567,1.9475669860839844,1.44,169.79
normal_246.csv,16,1800430210.0,1800430211.5063162,1.5063161849975586,2.08,337.48
normal_247.csv,24,1800430215.0,1800430217.304015,2.3040149211883545,1.13,167.57
normal_248.csv,23,1800430220.0,1800430222.4748037,2.4748036861419678,1.48,128.02
normal_249.csv,26,1800430225.0,1800430227.424521,2.424520969390869,1.18,148.52
normal_250.csv,27,1800430230.0,1800430233.3441446,3.344144582748413,1.72,122.77
normal_251.csv,23,1800430235.0,1800430237.4669783,2.4669783115386963,1.54,115.94
normal_252.csv,15,1800430240.0,1800430241.6349587,1.6349587440490723,1.36,92.28
normal_253.csv,27,1800430245.0,1800430247.3932977,2.3932976722717285,1.39,116.96
normal_254.csv,25,1800430250.0,1800430252.4978282,2.497828245162964,1.92,257.1
normal_255.csv,26,1800430255.0,1800430257.373587,2.373586893081665,1.26,113.23
normal_256.csv,27,1800430260.0,1800430262.495333,2.495332956314087,2.08,240.86
normal_257.csv,26,1800430265.0,1800430267.5523498,2.552349805831909,1.19,96.74
normal_258.csv,21,1800430270.0,1800430271.8145788,1.8145787715911865,1.2,90.75
normal_259.csv,27,1800430275.0,1800430278.3140492,3.314049243927002,1.19,250.98
normal_260.csv,25,1800430280.0,1800430282.2582345,2.2582345008850098,1.81,178.98
normal_261.csv,26,1800430285.0,1800430287.992699,2.992698907852173,1.29,198.95
normal_262.csv,21,1800430290.0,1800430292.2710044,2.2710044384002686,1.19,69.15
normal_263.csv,20,1800430295.0,1800430297.0180984,2.0180983543395996,1.21,220.48
normal_264.csv,23,1800430300.0,1800430302.4860716,2.4860715866088867,1.76,132.54
normal_265.csv,23,1800430305.0,1800430307.2173648,2.21736478805542,1.23,103.96
normal_266.csv,15,1800430310.0,1800430311.4564664,1.4564664363861084,1.32,82.24
normal_267.csv,24,1800430315.0,1800430318.1165648,3.1165647506713867,1.85,147.94
normal_268.csv,25,1800430320.0,1800430322.3569477,2.356947660446167,1.35,91.82
normal_269.csv,27,1800430325.0,1800430327.4163296,2.4163296222686768,1.18,215.14
normal_270.csv,15,1800430330.0,1800430331.447205,1.4472050666809082,1.45,134.33
normal_271.csv,23,1800430335.0,1800430337.5721278,2.5721278190612793,2.16,144.69
normal_272.csv,24,1800430340.0,1800430342.4432974,2.4432973861694336,1.35,129.89
normal_273.csv,24,1800430345.0,1800430347.3507507,2.350750684738159,1.43,97.04
normal_274.csv,25,1800430350.0,1800430352.519821,2.5198209285736084,1.29,223.83
normal_275.csv,23,1800430355.0,1800430357.2776878,2.2776877880096436,2.16,163.37
normal_276.csv,15,1800430360.0,1800430361.6059918,1.6059918403625488,1.48,129.52
normal_277.csv,27,1800430365.0,1800430368.2588856,3.258885622024536,1.05,146.21
normal_278.csv,23,1800430370.0,1800430372.4876077,2.487607717514038,1.15,97.09
normal_279.csv,24,1800430375.0,1800430377.5453036,2.5453035831451416,1.25,280.55
normal_280.csv,18,1800430380.0,1800430381.840737,1.8407371044158936,2.15,355.35
normal_281.csv,20,1800430385.0,1800430387.2245116,2.2245116233825684,1.23,163.19
normal_282.csv,24,1800430390.0,1800430393.490634,3.490633964538574,1.37,137.88
normal_283.csv,24,1800430395.0,1800430397.6320071,2.632007122039795,1.53,125.77
normal_284.csv,24,1800430400.0,1800430402.2235255,2.2235255241394043,1.92,506.17
normal_285.csv,25,1800430405.0,1800430407.3590653,2.359065294265747,1.68,229.41
normal_286.csv,15,1800430410.0,1800430411.3445437,1.344543695449829,1.24,179.39
normal_287.csv,27,1800430415.0,1800430417.5108404,2.51084041595459,1.65,275.58
normal_288.csv,27,1800430420.0,1800430422.3654056,2.365405559539795,1.28,149.53
normal_289.csv,22,1800430425.0,1800430427.1233673,2.1233673095703125,1.41,106.28
normal_290.csv,26,1800430430.0,1800430432.279377,2.279376983642578,1.26,151.91
normal_291.csv,26,1800430435.0,1800430437.3190062,2.3190062046051025,1.4,254.62
normal_292.csv,17,1800430440.0,1800430441.6139684,1.6139683723449707,1.25,116.76
normal_293.csv,24,1800430445.0,1800430447.5868905,2.586890459060669,2.05,213.89
normal_294.csv,24,1800430450.0,1800430452.390474,2.3904740810394287,1.09,223.79
normal_295.csv,27,1800430455.0,1800430457.3896632,2.3896632194519043,1.81,191.82
normal_296.csv,24,1800430460.0,1800430462.362696,2.3626959323883057,2.06,191.26
normal_297.csv,26,1800430465.0,1800430467.3992534,2.3992533683776855,1.38,132.8
normal_298.csv,23,1800430470.0,1800430472.378997,2.3789970874786377,1.05,183.81
normal_299.csv,26,1800430475.0,1800430477.3977275,2.3977274894714355,2.06,401.0
normal_300.csv,27,1800430480.0,1800430482.5796423,2.5796422958374023,1.37,182.8
normal_301.csv,23,1800430485.0,1800430487.5120995,2.512099504470825,1.51,138.03
normal_302.csv,27,1800430490.0,1800430492.454878,2.454878091812134,1.45,232.96
normal_303.csv,25,1800430495.0,1800430497.3310368,2.3310368061065674,1.48,190.41
normal_304.csv,18,1800430500.0,1800430501.9330063,1.9330062866210938,1.3,137.73
normal_305.csv,19,1800430505.0,1800430506.9125743,1.912574291229248,1.23,62.46
normal_306.csv,24,1800430510.0,1800430512.6662447,2.6662447452545166,1.16,158.39
normal_307.csv,18,1800430515.0,1800430516.7347038,1.734703779220581,1.31,89.48
normal_308.csv,26,1800430520.0,1800430522.5348573,2.5348572731018066,1.5,186.24
normal_309.csv,18,1800430525.0,1800430526.670924,1.6709239482879639,1.09,67.06
normal_310.csv,24,1800430530.0,1800430532.449049,2.4490489959716797,1.61,175.42
normal_311.csv,25,1800430535.0,1800430537.367967,2.367966890335083,1.46,125.51
normal_312.csv,24,1800430540.0,1800430542.53574,2.5357398986816406,1.08,174.65
normal_313.csv,24,1800430545.0,1800430547.5397437,2.539743661880493,1.69,145.9
normal_314.csv,24,1800430550.0,1800430552.5499802,2.5499801635742188,1.26,143.87
normal_315.csv,21,1800430555.0,1800430556.9522293,1.9522292613983154,1.34,57.59
normal_316.csv,25,1800430560.0,1800430562.5834064,2.583406448364258,1.05,152.63
normal_317.csv,27,1800430565.0,1800430567.5461812,2.5461812019348145,1.13,195.38
