AccelX_mean,AccelX_std,AccelX_max,AccelX_min,AccelX_range,AccelY_mean,AccelY_std,AccelY_max,AccelY_min,AccelY_range,AccelZ_mean,AccelZ_std,AccelZ_max,AccelZ_min,AccelZ_range,GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,Total_A_mean,Total_A_std,Total_A_max,Total_A_min,Total_A_range,A_peak,A_mean,A_std,A_range,A_min,label
-0.08600000000000002,0.16263455967290594,0.2,-0.38,0.5800000000000001,-0.9528,0.1197051934267404,-0.72,-1.21,0.49,0.2372,0.139299437663378,0.5,-0.07,0.5700000000000001,-17.7332,34.3930169414277,96.5,-74.03,170.53,-18.9512,56.342861298777976,87.08,-119.44,206.51999999999998,-10.928400000000002,30.822972990936485,43.02,-89.41,132.43,1.006,0.14288690166235204,1.34,0.74,0.6000000000000001,1.34,1.006,0.14288690166235204,0.6000000000000001,0.74,0
-0.086,0.1298075498574717,0.1,-0.33,0.43000000000000005,-0.9336,0.10900611603636438,-0.72,-1.21,0.49,0.25040000000000007,0.1264739762428092,0.6,0.04,0.5599999999999999,-4.4656,34.07497102957927,96.5,-69.15,165.65,4.567600000000002,78.41282337092575,154.21,-119.44,273.65,-13.816800000000002,32.87523925388225,43.02,-89.41,132.43,0.9848,0.1341678053781905,1.34,0.74,0.6000000000000001,1.34,0.9848,0.1341678053781905,0.6000000000000001,0.74,0
-0.054400000000000004,0.19515122341404884,0.34,-0.33,0.67,-0.774,0.33667491739064853,0.19,-1.07,1.26,0.3732,0.2923570875943778,1.1,0.04,1.06,-4.452400000000001,30.638465785131384,82.56,-69.15,151.71,39.8856,82.09623560594399,154.21,-109.25,263.46000000000004,-19.5408,37.99902059264159,43.02,-111.99,155.01,0.9811999999999999,0.08303212229814035,1.13,0.79,0.33999999999999986,1.13,0.9811999999999999,0.08303212229814035,0.33999999999999986,0.79,0
0.06480000000000001,0.22768984752655677,0.43,-0.33,0.76,-0.4036,0.45503552974831907,0.44,-1.02,1.46,0.6296,0.3312662574626842,1.1,0.04,1.06,-0.9292000000000002,35.138194665254694,82.56,-81.56,164.12,40.5384,70.30499132825966,154.21,-48.99,203.20000000000002,-12.807600000000003,36.45503752112548,32.76,-111.99,144.75,0.9499999999999998,0.11905880899790658,1.22,0.75,0.47,1.22,0.9499999999999998,0.11905880899790658,0.47,0.75,0
0.20839999999999997,0.14386567809360692,0.43,-0.26,0.69,-0.048799999999999996,0.23710616468859122,0.44,-0.91,1.35,0.8892,0.20045614649260987,1.22,0.19,1.03,-9.0476,33.176037321134864,53.56,-89.36,142.92000000000002,-9.919599999999999,36.51692843508793,132.66,-51.68,184.34,-0.5524000000000001,26.03010104987429,32.76,-48.37,81.13,0.9624000000000001,0.14894853697390475,1.26,0.75,0.51,1.26,0.9624000000000001,0.14894853697390475,0.51,0.75,0
0.2416,0.09559811713627,0.43,0.07,0.36,-0.0204,0.17302408310213158,0.44,-0.26,0.7,0.9028,0.1457028940458402,1.22,0.68,0.5399999999999999,-6.087199999999999,38.07787037987637,53.56,-89.36,142.92000000000002,-13.873199999999999,20.93867528442682,27.07,-51.68,78.75,0.33879999999999993,26.959875018256298,43.43,-48.08,91.50999999999999,0.9524000000000001,0.15751402053997185,1.26,0.75,0.51,1.26,0.9524000000000001,0.15751402053997185,0.51,0.75,0
0.2412,0.09575663597544211,0.39,0.01,0.38,-0.028399999999999998,0.130213926546536,0.34,-0.26,0.6000000000000001,0.9064,0.13747363383572866,1.22,0.72,0.5,-2.2055999999999987,44.413457427526026,82.41,-89.36,171.76999999999998,-11.681600000000001,21.398744838580292,27.07,-53.33,80.4,1.2279999999999993,28.77119045156109,43.43,-59.25,102.68,0.9508,0.13853158484620032,1.26,0.79,0.47,1.26,0.9508,0.13853158484620032,0.47,0.79,0
0.23360000000000003,0.1496072636382784,0.68,0.01,0.67,-0.2412,0.4475518591925037,0.34,-1.36,1.7000000000000002,0.7504,0.3246854888452311,1.17,0.11,1.0599999999999998,-1.2079999999999993,45.47080125384495,82.41,-78.41,160.82,-9.949200000000001,23.576905175757624,40.85,-53.33,94.18,3.9096,26.597895042026668,49.04,-59.25,108.28999999999999,0.9764,0.19230791282038637,1.46,0.67,0.7899999999999999,1.46,0.9764,0.19230791282038637,0.7899999999999999,0.67,0
0.2352,0.1993765282073093,0.8,0.01,0.79,-0.6144,0.5130471063492449,0.08,-1.41,1.49,0.45520000000000005,0.39638070925143,1.17,-0.12,1.29,5.601600000000001,51.71933122473002,122.98,-81.97,204.95,-25.530800000000003,46.218370258300254,40.85,-130.34,171.19,6.6616,35.78309618148398,106.99,-60.73,167.72,0.9996,0.2839671342485488,1.46,0.52,0.94,1.46,0.9996,0.2839671342485488,0.94,0.52,0
0.23999999999999996,0.20712315177207977,0.8,-0.04,0.8400000000000001,-0.9180000000000001,0.33562131438075665,-0.4,-1.42,1.02,0.20879999999999999,0.14852945835759315,0.64,-0.12,0.76,6.914000000000002,59.73214335682255,122.98,-109.91,232.89,-41.920399999999994,46.91951295214675,40.85,-130.34,171.19,1.7683999999999995,41.70317380807685,106.99,-60.73,167.72,0.9932000000000001,0.3584657119818668,1.46,0.44,1.02,1.46,0.9932000000000001,0.3584657119818668,1.02,0.44,0
